TransactionId,HotelId,CustomerId,TransactionDate,Nights
1,587,620,2019-05-29,6
2,493,851,2019-12-14,6
3,716,669,2019-06-20,7
4,679,176,2019-06-14,7
5,1032,117,2019-09-04,3
6,28,739,2019-10-21,2
7,866,193,2019-07-15,7
8,659,84,2019-06-27,8
9,612,843,2019-08-27,9
10,57,313,2019-07-12,1
11,1005,612,2019-11-06,4
12,956,403,2019-11-23,4
13,717,629,2019-08-29,4
14,650,1000,2019-08-16,6
15,174,861,2019-09-03,7
16,516,925,2019-08-02,4
17,816,987,2019-12-21,8
18,242,800,2019-07-10,3
19,562,245,2019-05-06,4
20,810,907,2019-07-23,9
21,303,370,2019-10-04,5
22,849,578,2019-12-10,9
23,337,456,2019-06-09,3
24,346,759,2019-10-28,5
25,145,241,2019-12-31,5
26,867,546,2019-04-16,6
27,967,890,2019-07-21,8
28,228,325,2019-03-07,4
29,577,268,2019-09-23,3
30,168,660,2019-10-07,1
31,599,11,2019-12-05,3
32,604,164,2019-01-23,1
33,360,906,2019-06-19,9
34,367,106,2019-06-04,4
35,134,758,2019-09-28,4
36,920,935,2019-03-26,8
37,233,529,2019-06-30,3
38,725,724,2019-08-18,2
39,657,116,2019-09-29,3
40,319,633,2019-05-24,5
41,159,710,2019-02-11,5
42,185,775,2019-07-08,1
43,1025,79,2019-01-26,8
44,738,156,2019-04-26,4
45,532,949,2019-06-22,1
46,485,61,2019-11-23,5
47,724,482,2019-09-23,2
48,513,134,2019-03-10,4
49,580,862,2019-03-19,1
50,378,725,2019-02-09,2
51,54,760,2019-04-22,1
52,692,382,2019-08-02,3
53,520,276,2019-08-27,1
54,120,963,2019-10-21,7
55,373,927,2019-01-13,4
56,893,797,2019-11-18,8
57,1045,21,2019-03-20,2
58,370,935,2019-01-09,2
59,100,25,2019-05-16,1
60,526,351,2019-04-01,9
61,965,373,2019-09-07,8
62,728,733,2019-09-13,8
63,826,917,2019-11-21,7
64,288,375,2019-06-01,4
65,221,790,2019-06-12,4
66,158,957,2019-10-18,5
67,901,655,2019-03-31,1
68,271,876,2019-04-24,2
69,339,979,2019-07-08,1
70,167,252,2019-02-16,4
71,84,414,2019-11-05,2
72,84,521,2019-10-05,9
73,693,927,2019-05-30,7
74,894,435,2019-06-19,9
75,370,940,2019-05-26,3
76,222,368,2019-06-10,8
77,239,519,2019-03-15,8
78,579,706,2019-12-02,2
79,597,487,2019-12-28,4
80,605,961,2019-01-12,1
81,559,67,2019-06-24,7
82,913,619,2019-11-01,6
83,831,867,2019-01-16,1
84,229,616,2019-11-14,3
85,690,954,2019-07-12,8
86,816,570,2019-11-03,6
87,1014,696,2019-01-28,3
88,488,356,2019-01-27,1
89,874,643,2019-06-01,5
90,1039,753,2019-12-17,1
91,604,336,2019-01-18,6
92,453,338,2019-07-17,5
93,874,606,2019-10-06,6
94,142,431,2019-11-16,5
95,242,777,2019-01-14,8
96,648,259,2019-01-10,3
97,422,970,2019-06-16,9
98,367,86,2019-11-27,9
99,674,152,2019-05-04,5
100,943,116,2019-04-25,1
101,756,412,2019-11-04,9
102,729,333,2019-11-27,9
103,1015,661,2019-09-22,1
104,867,157,2019-03-24,2
105,260,84,2019-04-11,4
106,599,898,2019-01-01,1
107,891,776,2019-12-16,9
108,465,59,2019-05-23,6
109,518,13,2019-12-16,1
110,917,522,2019-04-22,7
111,853,912,2019-11-30,5
112,786,707,2019-12-07,7
113,305,747,2019-01-29,4
114,73,218,2019-06-14,3
115,276,231,2019-04-10,2
116,261,819,2019-10-21,2
117,23,757,2019-11-02,8
118,52,174,2019-11-26,3
119,130,86,2019-09-29,4
120,869,506,2019-03-26,6
121,295,940,2019-03-02,5
122,757,302,2019-10-14,6
123,554,185,2019-02-03,8
124,264,111,2019-12-01,5
125,918,293,2019-11-22,1
126,502,806,2019-12-28,8
127,399,679,2019-02-07,8
128,501,916,2019-04-21,5
129,280,21,2019-07-24,2
130,381,865,2019-06-16,5
131,809,820,2019-03-22,1
132,742,700,2019-05-04,6
133,507,837,2019-07-26,1
134,876,571,2019-06-11,4
135,576,905,2019-03-12,9
136,797,388,2019-11-21,5
137,697,305,2019-05-04,7
138,753,550,2019-11-05,3
139,1009,271,2019-08-15,3
140,803,520,2019-04-13,3
141,605,703,2019-04-14,6
142,952,409,2019-09-27,2
143,786,958,2019-06-27,8
144,838,742,2019-10-28,5
145,447,135,2019-05-02,2
146,772,79,2019-05-07,1
147,899,330,2019-03-12,7
148,1021,226,2019-06-12,9
149,1038,265,2019-12-23,9
150,979,947,2019-09-24,6
151,341,672,2019-09-23,8
152,948,323,2019-03-01,7
153,553,881,2019-05-23,4
154,49,160,2019-03-08,9
155,643,275,2019-10-15,2
156,167,507,2019-06-04,4
157,917,613,2019-03-23,7
158,835,969,2019-09-21,3
159,691,459,2019-05-10,5
160,737,518,2019-01-17,4
161,1001,23,2019-04-14,1
162,483,114,2019-12-18,1
163,646,909,2019-02-03,2
164,805,270,2019-02-28,4
165,272,65,2019-10-18,9
166,432,938,2019-04-19,7
167,228,515,2019-06-18,5
168,1040,375,2019-06-02,4
169,378,847,2019-02-04,5
170,114,98,2019-02-13,3
171,835,934,2019-07-28,1
172,151,177,2019-10-27,5
173,125,980,2019-10-12,2
174,811,77,2019-08-09,2
175,256,528,2019-08-31,4
176,1018,667,2019-04-07,5
177,647,914,2019-11-10,1
178,281,867,2019-02-21,3
179,613,933,2019-09-29,5
180,530,119,2019-12-31,2
181,1039,206,2019-11-23,6
182,337,515,2019-12-09,1
183,86,789,2019-02-14,7
184,4,917,2019-01-12,4
185,874,680,2019-05-26,1
186,629,450,2019-10-13,4
187,119,817,2019-10-21,3
188,614,98,2019-07-16,5
189,994,297,2019-02-25,7
190,162,225,2019-11-27,2
191,759,93,2019-06-29,5
192,144,574,2019-04-16,7
193,791,536,2019-08-05,4
194,190,191,2019-01-01,7
195,1,994,2019-06-19,3
196,906,162,2019-10-06,6
197,91,533,2019-07-13,7
198,285,573,2019-06-03,2
199,567,34,2019-08-18,1
200,125,635,2019-03-23,4
201,154,538,2019-07-07,9
202,538,509,2019-05-30,7
203,1010,716,2019-10-24,1
204,421,486,2019-05-16,2
205,1006,592,2019-03-20,8
206,547,290,2019-05-18,8
207,207,368,2019-02-04,5
208,962,814,2019-10-12,6
209,426,150,2019-12-11,1
210,701,829,2019-04-25,3
211,1016,975,2019-10-02,8
212,162,859,2019-07-02,1
213,36,312,2019-11-18,8
214,322,779,2019-10-15,6
215,154,946,2019-02-03,4
216,157,68,2019-04-25,6
217,127,501,2019-06-17,2
218,95,89,2019-10-08,2
219,526,850,2019-01-31,4
220,162,965,2019-08-06,9
221,110,806,2019-04-08,9
222,316,766,2019-04-30,8
223,556,132,2019-04-14,8
224,224,375,2019-09-18,3
225,694,407,2019-07-14,6
226,304,173,2019-01-30,7
227,371,374,2019-08-04,9
228,968,543,2019-03-26,7
229,577,471,2019-02-09,9
230,375,187,2019-07-07,5
231,338,768,2019-08-06,6
232,223,360,2019-02-25,9
233,783,972,2019-07-16,9
234,386,345,2019-07-05,7
235,544,977,2019-11-21,1
236,1019,201,2019-07-06,4
237,574,563,2019-10-12,6
238,683,653,2019-03-24,3
239,367,992,2019-03-18,9
240,15,730,2019-12-10,6
241,1006,422,2019-07-14,2
242,259,23,2019-01-16,1
243,248,946,2019-11-27,1
244,829,796,2019-06-01,7
245,402,434,2019-06-10,6
246,107,226,2019-01-19,1
247,1003,912,2019-06-27,3
248,637,693,2019-01-19,1
249,907,47,2019-11-16,8
250,740,651,2019-04-07,8
251,662,646,2019-03-18,6
252,987,385,2019-11-19,4
253,783,707,2019-06-19,6
254,93,101,2019-12-26,4
255,648,565,2019-06-29,6
256,44,711,2019-09-27,5
257,773,207,2019-11-21,3
258,942,279,2019-04-16,4
259,315,994,2019-12-15,5
260,262,966,2019-04-20,2
261,749,346,2019-07-06,6
262,261,923,2019-04-03,9
263,111,956,2019-07-02,9
264,625,133,2019-06-27,7
265,691,377,2019-10-15,5
266,233,956,2019-05-14,4
267,402,633,2019-05-21,5
268,707,635,2019-10-29,6
269,591,385,2019-01-22,6
270,290,896,2019-09-28,8
271,798,785,2019-05-24,5
272,755,905,2019-10-24,2
273,491,885,2019-08-30,7
274,861,339,2019-06-15,5
275,162,384,2019-11-20,8
276,677,620,2019-03-13,9
277,561,214,2019-09-19,9
278,1032,15,2019-09-20,9
279,636,400,2019-02-19,4
280,331,281,2019-12-30,9
281,928,168,2019-09-28,1
282,690,541,2019-06-01,2
283,197,286,2019-12-03,5
284,709,501,2019-09-24,3
285,113,323,2019-07-11,5
286,320,462,2019-05-09,1
287,963,142,2019-12-15,9
288,834,229,2019-08-26,1
289,589,73,2019-10-18,9
290,657,995,2019-10-06,8
291,738,840,2019-08-26,7
292,4,841,2019-09-12,5
293,1007,464,2019-04-22,2
294,872,757,2019-05-10,3
295,33,776,2019-11-02,4
296,266,219,2019-05-01,8
297,197,873,2019-09-05,1
298,317,878,2019-01-25,7
299,787,712,2019-03-30,5
300,217,785,2019-11-26,6
301,17,825,2019-10-19,1
302,12,122,2019-12-17,1
303,171,927,2019-10-24,7
304,482,640,2019-10-01,9
305,838,416,2019-01-22,6
306,639,572,2019-06-10,4
307,647,231,2019-06-26,8
308,30,287,2019-01-13,3
309,1027,116,2019-06-07,1
310,664,867,2019-07-21,5
311,197,343,2019-01-04,4
312,1041,632,2019-09-14,2
313,297,686,2019-03-09,9
314,161,339,2019-01-10,1
315,757,113,2019-04-27,7
316,897,600,2019-03-27,6
317,1047,708,2019-10-17,9
318,343,849,2019-05-09,5
319,973,499,2019-03-01,2
320,724,802,2019-08-04,4
321,168,652,2019-11-13,1
322,276,3,2019-11-24,3
323,620,762,2019-08-05,7
324,716,478,2019-02-27,2
325,559,685,2019-08-12,3
326,34,665,2019-02-24,4
327,94,420,2019-12-07,8
328,974,230,2019-08-15,8
329,677,291,2019-09-07,2
330,1019,226,2019-10-18,8
331,907,725,2019-03-15,9
332,123,210,2019-04-09,8
333,297,624,2019-01-15,6
334,654,232,2019-09-19,9
335,9,623,2019-02-06,9
336,942,950,2019-06-04,6
337,921,276,2019-09-11,6
338,742,841,2019-09-01,4
339,791,932,2019-06-11,4
340,899,345,2019-08-04,5
341,700,170,2019-10-07,8
342,1047,875,2019-06-04,8
343,967,421,2019-05-20,6
344,276,765,2019-11-14,4
345,1049,223,2019-09-04,4
346,33,782,2019-05-01,9
347,815,44,2019-10-07,7
348,941,661,2019-09-15,8
349,507,192,2019-03-31,5
350,331,429,2019-12-17,8
351,2,122,2019-11-15,4
352,285,51,2019-07-25,2
353,881,303,2019-10-01,4
354,437,485,2019-09-29,6
355,653,447,2019-12-23,7
356,66,498,2019-10-18,9
357,664,986,2019-12-13,6
358,977,816,2019-10-10,2
359,518,460,2019-11-17,6
360,879,108,2019-05-28,1
361,457,964,2019-04-06,7
362,413,10,2019-12-15,1
363,232,699,2019-02-23,3
364,802,570,2019-04-15,5
365,379,408,2019-01-01,6
366,679,3,2019-05-25,7
367,615,931,2019-03-16,5
368,589,158,2019-04-01,1
369,345,907,2019-10-24,9
370,703,249,2019-01-03,6
371,363,62,2019-11-01,8
372,902,604,2019-06-25,2
373,621,174,2019-01-03,9
374,942,929,2019-05-19,9
375,404,986,2019-07-13,2
376,760,314,2019-08-08,9
377,13,895,2019-01-15,7
378,199,196,2019-04-25,5
379,882,249,2019-11-26,2
380,286,434,2019-10-03,9
381,964,671,2019-12-23,4
382,582,12,2019-03-16,1
383,153,26,2019-08-23,4
384,1020,838,2019-03-16,9
385,740,894,2019-09-21,4
386,817,912,2019-02-13,1
387,311,150,2019-09-11,3
388,1004,345,2019-12-20,5
389,497,322,2019-03-21,8
390,950,391,2019-08-12,8
391,427,966,2019-01-31,5
392,501,296,2019-07-18,2
393,479,255,2019-10-14,6
394,365,179,2019-11-07,8
395,536,99,2019-10-10,2
396,834,512,2019-10-08,8
397,558,471,2019-02-09,3
398,304,875,2019-02-22,3
399,91,292,2019-07-30,3
400,344,971,2019-08-09,2
401,562,420,2019-09-29,8
